,actor_id,first_name,last_name,last_update,actor_id,film_id,last_update,film_id,title,description,release_year,language_id,original_language_id,rental_duration,rental_rate,length,replacement_cost,rating,special_features,last_update
0,1,PENELOPE,GUINESS,2006-02-15 04:34:33,1,1,2006-02-15 05:05:03,1,ACADEMY DINOSAUR,A Epic Drama of a Feminist And a Mad Scientist who must Battle a Teacher in The Canadian Rockies,2006,1,,6,0.99,86,20.99,PG,"Deleted Scenes,Behind the Scenes",2006-02-15 05:03:42
1,1,PENELOPE,GUINESS,2006-02-15 04:34:33,1,23,2006-02-15 05:05:03,23,ANACONDA CONFESSIONS,A Lacklusture Display of a Dentist And a Dentist who must Fight a Girl in Australia,2006,1,,3,0.99,92,9.99,R,"Trailers,Deleted Scenes",2006-02-15 05:03:42
2,1,PENELOPE,GUINESS,2006-02-15 04:34:33,1,25,2006-02-15 05:05:03,25,ANGELS LIFE,A Thoughtful Display of a Woman And a Astronaut who must Battle a Robot in Berlin,2006,1,,3,2.99,74,15.99,G,Trailers,2006-02-15 05:03:42
3,1,PENELOPE,GUINESS,2006-02-15 04:34:33,1,106,2006-02-15 05:05:03,106,BULWORTH COMMANDMENTS,A Amazing Display of a Mad Cow And a Pioneer who must Redeem a Sumo Wrestler in The Outback,2006,1,,4,2.99,61,14.99,G,Trailers,2006-02-15 05:03:42
4,1,PENELOPE,GUINESS,2006-02-15 04:34:33,1,140,2006-02-15 05:05:03,140,CHEAPER CLYDE,A Emotional Character Study of a Pioneer And a Girl who must Discover a Dog in Ancient Japan,2006,1,,6,0.99,87,23.99,G,"Trailers,Commentaries,Behind the Scenes",2006-02-15 05:03:42
5,1,PENELOPE,GUINESS,2006-02-15 04:34:33,1,166,2006-02-15 05:05:03,166,COLOR PHILADELPHIA,A Thoughtful Panorama of a Car And a Crocodile who must Sink a Monkey in The Sahara Desert,2006,1,,6,2.99,149,19.99,G,"Commentaries,Behind the Scenes",2006-02-15 05:03:42
6,1,PENELOPE,GUINESS,2006-02-15 04:34:33,1,277,2006-02-15 05:05:03,277,ELEPHANT TROJAN,A Beautiful Panorama of a Lumberjack And a Forensic Psychologist who must Overcome a Frisbee in A Baloon,2006,1,,4,4.99,126,24.99,PG-13,Behind the Scenes,2006-02-15 05:03:42
7,1,PENELOPE,GUINESS,2006-02-15 04:34:33,1,361,2006-02-15 05:05:03,361,GLEAMING JAWBREAKER,A Amazing Display of a Composer And a Forensic Psychologist who must Discover a Car in The Canadian Rockies,2006,1,,5,2.99,89,25.99,NC-17,"Trailers,Commentaries",2006-02-15 05:03:42
8,1,PENELOPE,GUINESS,2006-02-15 04:34:33,1,438,2006-02-15 05:05:03,438,HUMAN GRAFFITI,A Beautiful Reflection of a Womanizer And a Sumo Wrestler who must Chase a Database Administrator in The Gulf of Mexico,2006,1,,3,2.99,68,22.99,NC-17,"Trailers,Behind the Scenes",2006-02-15 05:03:42
9,1,PENELOPE,GUINESS,2006-02-15 04:34:33,1,499,2006-02-15 05:05:03,499,KING EVOLUTION,A Action-Packed Tale of a Boy And a Lumberjack who must Chase a Madman in A Baloon,2006,1,,3,4.99,184,24.99,NC-17,"Trailers,Deleted Scenes,Behind the Scenes",2006-02-15 05:03:42
